board,player,action,value
....O.X..,X,3,-0.18546963050948206
....O.X..,X,5,-0.24414801510400005
....O.X..,X,7,-0.2
....O.X..,X,8,-0.2
....O.X.X,O,0,-0.36000000000000004
....O.X.X,O,1,-0.488
....O.X.X,O,2,-0.33952000000000004
....O.X.X,O,3,-0.24608
....O.X.X,O,5,-0.33440000000000003
....O.X.X,O,7,0.25974400415263277
....O.XOX,X,0,-0.488
....O.XOX,X,1,0.043802412946817026
....O.XOX,X,2,-0.23199999999999998
....O.XOX,X,3,-0.488
....O.XOX,X,5,-0.209975808
....O.XX.,O,1,-0.2
....O.XX.,O,2,0.328
....O.XX.,O,8,0.0
....O.XXO,X,3,0.2
....O.XXO,X,5,0.0
....OO.XX,X,0,0.0
....OO.XX,X,1,-0.2
....OO.XX,X,2,-0.2
....OO.XX,X,6,0.488
....OOX.X,X,0,0.03999999999999998
....OOX.X,X,7,0.488
....OX...,X,0,-0.2
....OX...,X,1,-0.2
....OX...,X,2,0.51232
....OX...,X,3,0.0
....OX...,X,7,-0.2
....OX..X,O,0,-0.2
....OX..X,O,1,-0.30368
....OX..X,O,2,0.2576
....OX..X,O,3,-0.36000000000000004
....OX..X,O,6,-0.2733795090432
....OX..X,O,7,-0.36000000000000004
....OX.OX,X,0,0.0
....OX.OX,X,2,0.36000000000000004
....OX.X.,O,1,0.36000000000000004
....OX.X.,O,3,0.0
....OXO.X,X,0,-0.2
....OXO.X,X,1,-0.029555199999999976
....OXO.X,X,2,0.488
....OXO.X,X,3,-0.03999999999999998
....OXO.X,X,7,-0.2
....OXOXX,O,0,0.36000000000000004
....OXX..,O,0,-0.2
....OXX..,O,1,-0.2
....OXX..,O,2,-0.16
....OXX..,O,3,-0.03999999999999998
....OXX..,O,7,-0.2
....OXX..,O,8,0.41632
....OXX.O,X,0,-0.03999999999999998
....OXX.O,X,1,-0.2
....OXX.O,X,2,-0.36000000000000004
....OXX.O,X,3,-0.2
....OXX.O,X,7,-0.2
....OXXO.,X,0,0.2
....OXXOX,O,0,-0.2
....OXXOX,O,1,0.67232
....OXXOX,O,3,-0.488
....OXXXO,O,1,0.2
....X....,O,0,-0.40551567200018146
....X....,O,1,-0.6897628204251143
....X....,O,2,-0.37865115973495855
....X....,O,3,-0.5919893154950684
....X....,O,5,-0.9068178557025163
....X....,O,6,-0.7914037849560425
....X....,O,7,-0.9811893333710576
....X....,O,8,-0.4650733416547119
....X...O,X,0,-0.2329728
....X...O,X,1,0.03999999999999998
....X...O,X,2,0.03999999999999998
....X...O,X,3,0.03999999999999998
....X...O,X,5,0.47088636336304013
....X...O,X,6,-0.026944000000000023
....X...O,X,7,0.16482155332998522
....X..O.,X,0,-0.2
....X..O.,X,2,-0.03999999999999998
....X..O.,X,5,0.9781985245638621
....X..O.,X,8,0.2
....X..OX,O,0,-0.2
....X..OX,O,1,-0.2
....X..OX,O,2,-0.2
....X..OX,O,3,-0.36000000000000004
....X..OX,O,5,-0.3024
....X..OX,O,6,-0.36000000000000004
....X..XO,O,0,-0.488
....X..XO,O,1,-0.037427199999999994
....X..XO,O,2,-0.31232
....X..XO,O,3,-0.488
....X..XO,O,5,-0.40321280000000004
....X..XO,O,6,-0.488
....X.O..,X,0,-0.012235345920000057
....X.O..,X,1,-0.186944
