check,passed
31/parent/linear/parent_order,True
31/parent/linear/applicability,True
31/parent/reference/twelve_attempts,True
31/parent/reference/selection,True
31/parent/reference/bounded_proposals,True
31/parent/reference/constructor_uniqueness,True
31/parent/reference/common_coverage,True
31/parent/reference/parent_order,True
31/parent/reference/applicability,True
31/parent/all_failed_refused,True
31/i0/kernel/twelve_attempts,True
31/i0/kernel/selection,True
31/i0/kernel/bounded_proposals,True
31/i0/kernel/constructor_uniqueness,True
31/i0/kernel/common_coverage,True
31/i0/kernel/parent_order,True
31/i0/kernel/applicability,True
31/i0/forest/twelve_attempts,True
31/i0/forest/selection,True
31/i0/forest/bounded_proposals,True
31/i0/forest/constructor_uniqueness,True
31/i0/forest/common_coverage,True
31/i0/forest/parent_order,True
31/i0/forest/applicability,True
31/i0/linear/twelve_attempts,True
31/i0/linear/selection,True
31/i0/linear/bounded_proposals,True
31/i0/linear/constructor_uniqueness,True
31/i0/linear/common_coverage,True
31/i0/linear/parent_order,True
31/i0/linear/applicability,True
31/i0/reference/twelve_attempts,True
31/i0/reference/selection,True
31/i0/reference/bounded_proposals,True
31/i0/reference/constructor_uniqueness,True
31/i0/reference/common_coverage,True
31/i0/reference/parent_order,True
31/i0/reference/applicability,True
31/i0/all_failed_refused,True
31/i1/kernel/twelve_attempts,True
31/i1/kernel/selection,True
31/i1/kernel/bounded_proposals,True
31/i1/kernel/constructor_uniqueness,True
31/i1/kernel/common_coverage,True
31/i1/kernel/parent_order,True
31/i1/kernel/applicability,True
31/i1/forest/twelve_attempts,True
31/i1/forest/selection,True
31/i1/forest/bounded_proposals,True
31/i1/forest/constructor_uniqueness,True
31/i1/forest/common_coverage,True
31/i1/forest/parent_order,True
31/i1/forest/applicability,True
31/i1/linear/twelve_attempts,True
31/i1/linear/selection,True
31/i1/linear/bounded_proposals,True
31/i1/linear/constructor_uniqueness,True
31/i1/linear/common_coverage,True
31/i1/linear/parent_order,True
31/i1/linear/applicability,True
31/i1/reference/twelve_attempts,True
31/i1/reference/selection,True
31/i1/reference/bounded_proposals,True
31/i1/reference/constructor_uniqueness,True
31/i1/reference/common_coverage,True
31/i1/reference/parent_order,True
31/i1/reference/applicability,True
31/i1/all_failed_refused,True
361235/parent/kernel/twelve_attempts,True
361235/parent/kernel/selection,True
361235/parent/kernel/bounded_proposals,True
361235/parent/kernel/constructor_uniqueness,True
361235/parent/kernel/common_coverage,True
361235/parent/kernel/parent_order,True
361235/parent/kernel/applicability,True
361235/parent/forest/twelve_attempts,True
361235/parent/forest/selection,True
361235/parent/forest/bounded_proposals,True
361235/parent/forest/constructor_uniqueness,True
361235/parent/forest/common_coverage,True
361235/parent/forest/parent_order,True
361235/parent/forest/applicability,True
361235/parent/linear/twelve_attempts,True
361235/parent/linear/selection,True
361235/parent/linear/bounded_proposals,True
361235/parent/linear/constructor_uniqueness,True
361235/parent/linear/common_coverage,True
361235/parent/linear/parent_order,True
361235/parent/linear/applicability,True
361235/parent/reference/twelve_attempts,True
361235/parent/reference/selection,True
361235/parent/reference/bounded_proposals,True
361235/parent/reference/constructor_uniqueness,True
361235/parent/reference/common_coverage,True
361235/parent/reference/parent_order,True
361235/parent/reference/applicability,True
361235/parent/all_failed_refused,True
361235/i0/kernel/twelve_attempts,True
361235/i0/kernel/selection,True
361235/i0/kernel/bounded_proposals,True
361235/i0/kernel/constructor_uniqueness,True
361235/i0/kernel/common_coverage,True
361235/i0/kernel/parent_order,True
361235/i0/kernel/applicability,True
361235/i0/forest/twelve_attempts,True
361235/i0/forest/selection,True
361235/i0/forest/bounded_proposals,True
361235/i0/forest/constructor_uniqueness,True
361235/i0/forest/common_coverage,True
361235/i0/forest/parent_order,True
361235/i0/forest/applicability,True
361235/i0/linear/twelve_attempts,True
361235/i0/linear/selection,True
361235/i0/linear/bounded_proposals,True
361235/i0/linear/constructor_uniqueness,True
361235/i0/linear/common_coverage,True
361235/i0/linear/parent_order,True
361235/i0/linear/applicability,True
361235/i0/reference/twelve_attempts,True
361235/i0/reference/selection,True
361235/i0/reference/bounded_proposals,True
361235/i0/reference/constructor_uniqueness,True
361235/i0/reference/common_coverage,True
361235/i0/reference/parent_order,True
361235/i0/reference/applicability,True
361235/i0/all_failed_refused,True
361235/i1/kernel/twelve_attempts,True
361235/i1/kernel/selection,True
361235/i1/kernel/bounded_proposals,True
361235/i1/kernel/constructor_uniqueness,True
361235/i1/kernel/common_coverage,True
361235/i1/kernel/parent_order,True
361235/i1/kernel/applicability,True
361235/i1/forest/twelve_attempts,True
361235/i1/forest/selection,True
361235/i1/forest/bounded_proposals,True
361235/i1/forest/constructor_uniqueness,True
361235/i1/forest/common_coverage,True
361235/i1/forest/parent_order,True
361235/i1/forest/applicability,True
361235/i1/linear/twelve_attempts,True
